#O	T_init	T_i_pt	T_final	T_f_pt	H_init	H_i_pt	H_final	H_f_pt	LI1	LI2	Wt	NVc	NV%	#steps	I_init	I_final	Angle_i	Angle_f	622_amp	6221_fr	6221_off
#new frequency = 80 Hz
#new amplitude = 4.0 mT
 1	027.83	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0318	080.00	000.00
 1	027.93	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0318	080.00	000.00
 1	028.03	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0318	080.00	000.00
#new amplitude = 4.33333333333 mT
 1	027.82	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0344	080.00	000.00
 1	027.92	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0344	080.00	000.00
 1	028.02	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0344	080.00	000.00
#new amplitude = 4.66666666667 mT
 1	027.81	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0371	080.00	000.00
 1	027.91	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0371	080.00	000.00
 1	028.01	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0371	080.00	000.00
#new amplitude = 5.0 mT
 1	027.79	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0397	080.00	000.00
 1	027.89	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0397	080.00	000.00
 1	027.99	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0397	080.00	000.00
#new amplitude = 5.33333333333 mT
 1	027.78	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0424	080.00	000.00
 1	027.88	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0424	080.00	000.00
 1	027.98	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0424	080.00	000.00
#new amplitude = 5.66666666667 mT
 1	027.76	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0450	080.00	000.00
 1	027.86	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0450	080.00	000.00
 1	027.96	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0450	080.00	000.00
#new amplitude = 6.0 mT
 1	027.75	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0477	080.00	000.00
 1	027.85	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0477	080.00	000.00
 1	027.95	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0477	080.00	000.00
#new amplitude = 6.33333333333 mT
 1	027.73	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0503	080.00	000.00
 1	027.83	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0503	080.00	000.00
