;Auto tune data
Tue Oct 31 09:41:46 1995
Auto tune data.
        Time, itc503.default.Tset, itc503.default.T1
           s,            K,            K
 
         7:0          4:0          4:0 
3.9452080E+03   9.9750E+01   1.0121E+02 
3.9472400E+03   9.9750E+01   1.0018E+02 
3.9492720E+03   9.9750E+01   9.9160E+01 
3.9513040E+03   9.9750E+01   9.8360E+01 
3.9533370E+03   9.9750E+01   9.8780E+01 
3.9553690E+03   9.9750E+01   1.0061E+02 
3.9574010E+03   9.9750E+01   1.0270E+02 
3.9593780E+03   9.9750E+01   1.0340E+02 
3.9614660E+03   9.9750E+01   1.0291E+02 
3.9634980E+03   9.9750E+01   1.0204E+02 
3.9655300E+03   9.9750E+01   1.0105E+02 
3.9675620E+03   9.9750E+01   1.0003E+02 
3.9695940E+03   9.9750E+01   9.9000E+01 
3.9716270E+03   9.9750E+01   9.8310E+01 
3.9736590E+03   9.9750E+01   9.9110E+01 
3.9756360E+03   9.9750E+01   1.0112E+02 
3.9777230E+03   9.9750E+01   1.0274E+02 
3.9797560E+03   9.9750E+01   1.0282E+02 
3.9817880E+03   9.9750E+01   1.0216E+02 
3.9838200E+03   9.9750E+01   1.0125E+02 
3.9858520E+03   9.9750E+01   1.0038E+02 
3.9878840E+03   9.9750E+01   9.9390E+01 
3.9899170E+03   9.9750E+01   9.8870E+01 
3.9919490E+03   9.9750E+01   9.9860E+01 
3.9939810E+03   9.9750E+01   1.0167E+02 
3.9960130E+03   9.9750E+01   1.0246E+02 
3.9980460E+03   9.9750E+01   1.0209E+02 
4.0000780E+03   9.9750E+01   1.0128E+02 
4.0021100E+03   9.9750E+01   1.0033E+02 
4.0041420E+03   9.9750E+01   9.9350E+01 
4.0061750E+03   9.9750E+01   9.8900E+01 
4.0082070E+03   9.9750E+01   9.9960E+01 
4.0102390E+03   9.9750E+01   1.0177E+02 
4.0122710E+03   9.9750E+01   1.0248E+02 
4.0143030E+03   9.9750E+01   1.0206E+02 
4.0163360E+03   9.9750E+01   1.0135E+02 
4.0183680E+03   9.9750E+01   1.0041E+02 
4.0204000E+03   9.9750E+01   9.9590E+01 
4.0224320E+03   9.9750E+01   9.9520E+01 
4.0244650E+03   9.9750E+01   1.0071E+02 
4.0264970E+03   9.9750E+01   1.0252E+02 
4.0285290E+03   9.9750E+01   1.0361E+02 
4.0305610E+03   9.9750E+01   1.0361E+02 
4.0325930E+03   9.9750E+01   1.0293E+02 
4.0346260E+03   9.9750E+01   1.0198E+02 
4.0366580E+03   9.9750E+01   1.0102E+02 
4.0386900E+03   9.9750E+01   1.0034E+02 
4.0407220E+03   9.9750E+01   1.0010E+02 
4.0427550E+03   9.9750E+01   1.0038E+02 
4.0447870E+03   9.9750E+01   1.0102E+02 
4.0468190E+03   9.9750E+01   1.0163E+02 
4.0488510E+03   9.9750E+01   1.0223E+02 
4.0508830E+03   9.9750E+01   1.0257E+02 
4.0529160E+03   9.9750E+01   1.0260E+02 
4.0549480E+03   9.9750E+01   1.0238E+02 
4.0569800E+03   9.9750E+01   1.0201E+02 
4.0590120E+03   9.9750E+01   1.0159E+02 
4.0610450E+03   9.9750E+01   1.0118E+02 
4.0630770E+03   9.9750E+01   1.0081E+02 
4.0651090E+03   9.9750E+01   1.0053E+02 
4.0671410E+03   9.9750E+01   1.0036E+02 
4.0691730E+03   9.9750E+01   1.0029E+02 
4.0712060E+03   9.9750E+01   1.0027E+02 
4.0732380E+03   9.9750E+01   1.0031E+02 
4.0752700E+03   9.9750E+01   1.0035E+02 
4.0773020E+03   9.9750E+01   1.0037E+02 
4.0793350E+03   9.9750E+01   1.0039E+02 
4.0813670E+03   9.9750E+01   1.0036E+02 
4.0833990E+03   9.9750E+01   1.0032E+02 
4.0854310E+03   9.9750E+01   1.0026E+02 
4.0874640E+03   9.9750E+01   1.0018E+02 
4.0894960E+03   9.9750E+01   1.0011E+02 
4.0915280E+03   9.9750E+01   1.0004E+02 
4.0935600E+03   9.9750E+01   9.9990E+01 
4.0955920E+03   9.9750E+01   9.9970E+01 
4.0976250E+03   9.9750E+01   9.9940E+01 
4.0996570E+03   9.9750E+01   9.9930E+01 
4.1016890E+03   9.9750E+01   9.9930E+01 
4.1037210E+03   9.9750E+01   9.9930E+01 
4.1057540E+03   9.9750E+01   9.9930E+01 
4.1077860E+03   9.9750E+01   9.9920E+01 
4.1098180E+03   9.9750E+01   9.9920E+01 
4.1118500E+03   9.9750E+01   9.9890E+01 
4.1138820E+03   9.9750E+01   9.9870E+01 
4.1159150E+03   1.0025E+02   9.9840E+01 
4.1179470E+03   1.0025E+02   9.9830E+01 
4.1199790E+03   1.0025E+02   9.9880E+01 
4.1220110E+03   1.0025E+02   1.0004E+02 
4.1240440E+03   1.0025E+02   1.0023E+02 
4.1260760E+03   1.0025E+02   1.0039E+02 
4.1281080E+03   1.0025E+02   1.0050E+02 
4.1301400E+03   1.0025E+02   1.0054E+02 
4.1321720E+03   1.0025E+02   1.0053E+02 
4.1342050E+03   1.0025E+02   1.0048E+02 
4.1362370E+03   9.9750E+01   1.0040E+02 
4.1382690E+03   9.9750E+01   1.0031E+02 
4.1403010E+03   9.9750E+01   1.0021E+02 
4.1423340E+03   9.9750E+01   1.0011E+02 
4.1443660E+03   9.9750E+01   1.0001E+02 
4.1463980E+03   9.9750E+01   9.9930E+01 
4.1484300E+03   9.9750E+01   9.9850E+01 
4.1504620E+03   9.9750E+01   9.9790E+01 
4.1524950E+03   9.9750E+01   9.9760E+01 
4.1545270E+03   9.9750E+01   9.9740E+01 
4.1565590E+03   9.9750E+01   9.9720E+01 
4.1585910E+03   9.9750E+01   9.9720E+01 
4.1606240E+03   9.9750E+01   9.9720E+01 
4.1626560E+03   9.9750E+01   9.9730E+01 
4.1646880E+03   9.9750E+01   9.9730E+01 
4.1667200E+03   9.9750E+01   9.9730E+01 
4.1687530E+03   9.9750E+01   9.9740E+01 
4.1707850E+03   9.9750E+01   9.9750E+01 
4.1728170E+03   9.9750E+01   9.9770E+01 
4.1748490E+03   1.0025E+02   9.9770E+01 
4.1768810E+03   1.0025E+02   9.9790E+01 
4.1789140E+03   1.0025E+02   9.9880E+01 
4.1809460E+03   1.0025E+02   1.0002E+02 
4.1829780E+03   1.0025E+02   1.0016E+02 
4.1850100E+03   1.0025E+02   1.0028E+02 
4.1870430E+03   1.0025E+02   1.0035E+02 
4.1890750E+03   1.0025E+02   1.0040E+02 
4.1911070E+03   1.0025E+02   1.0041E+02 
4.1931390E+03   1.0025E+02   1.0040E+02 
4.1951710E+03   1.0025E+02   1.0037E+02 
4.1972040E+03   9.9750E+01   1.0033E+02 
4.1991810E+03   9.9750E+01   1.0028E+02 
4.2012680E+03   9.9750E+01   1.0017E+02 
4.2033000E+03   9.9750E+01   1.0006E+02 
4.2053330E+03   9.9750E+01   9.9930E+01 
4.2073650E+03   9.9750E+01   9.9810E+01 
4.2093970E+03   9.9750E+01   9.9730E+01 
4.2114290E+03   9.9750E+01   9.9680E+01 
4.2134610E+03   9.9750E+01   9.9660E+01 
4.2154940E+03   9.9750E+01   9.9650E+01 
4.2175260E+03   9.9750E+01   9.9660E+01 
4.2195580E+03   9.9750E+01   9.9670E+01 
4.2215900E+03   9.9750E+01   9.9670E+01 
