;*********** 100 OHM CARBON RESISTOR *********
;Typical calibration data for a
;100 Ohm Allen Bradley carbon resistor.
;Used for ITC502 Range CA21
14:10:08      06-17-1993
100R Allen Bradley
T, R
K, -


 1.93          8000 
 2.01          7000 
 2.06          6500 
 2.11          6000 
 2.17          5500 
 2.25          5000 
 2.33          4500 
 2.43          4000 
 2.56          3500 
 2.72          3000 
 2.8           2800 
 2.88          2600 
 2.98          2400 
 3.1           2200 
 3.24          2000 
 3.4           1800 
 3.6           1600 
 3.72          1500 
 3.86          1400 
 4.01          1300 
 4.19          1200 
 4.4           1100 
 4.66          1000 
 4.97          900 
 5.36          800 
 5.6           750 
 5.88          700 
 6.2           650 
 6.59          600 
 7.06          550 
 7.64          500 
 8.38          450 
 9.37          400 
 9.86          380 
 10.4          360 
 11.1          340 
 11.9          320 
 12.8          300 
 14            280 
 15.4          260 
 17.3          240 
 18.4          230 
 19.7          220 
 21.3          210 
 23.2          200 
 25.5          190 
 28.4          180 
 32.1          170 
 34.3          165 
 36.9          160 
 40            155 
 43.6          150 
 48            145 
 53.3          140 
 60            135 
 68.5          130 
 72.7          128 
 77.3          126 
 82.6          124 
 88.6          122 
 95.5          120 
 103.5         118 
 113           116 
 124.2         114 
 137.9         112 
 154.7         110 
 164.7         109 
 176           108 
 188.8         107 
 203.6         106 
 220.8         105 
 240.9         104 
 264.9         103 
 294           102 
