;*********** CR500 CARBON-GLASS *********
;Typical calibration data for a CR500
;Carbon Glass resistor.
;Used for ITC502 Range CC35
14:09:41      06-17-1993
Carbon-Glass CR500
T, R
K, -


 1.4706        48054 
 1.48          41157 
 1.49          35706 
 1.5           31529 
 1.54          21480 
 1.58          16288 
 1.7           9442 
 2             4604 
 2.4           2735
 2.8063        1936.8 
 3.2111        1170.5 
 3.6053        788.5 
 4.014         562.25 
 4.2237        483.32 
 4.6156        376.43 
 5.4094        250.16 
 6.2723        178.114 
 7.0772        138.625 
 8.0619        108.357 
 9.0842        88.126 
 10.0434       75.067 
 11.0452       65.145 
 13.0421       51.9508 
 14.0093       47.4916 
 16.0124       40.6006 
 18.0586       35.6527 
 20.0031       32.1646 
 25.0531       26.1977 
 30.1748       22.54244 
 35.3058       20.08864 
 40.1777       18.40091 
 50.263        16.01898 
 60.376        14.4603 
 70.3206       13.36886 
 80.2456       12.54346 
 90.2296       11.88903 
 100.3361      11.35086 
 125.2773      10.3652 
 150.1352      9.67255 
 175.2335      9.14574 
 200.2824      8.72958 
 225.2666      8.38944 
 250.374       8.09984 
 272.9935      7.87248 
 273.2911      7.86968 
 300.7677      7.6267 
