;CALIBRATION NO......:-25411
;SENSOR TYPE.........:-CGR500
;SENSOR SERIAL NO....:-C13835
;INSTALLED IN........:-ITC4 53/031
;CHANNEL NO..........:-2
;USED ON PROJECT NO..:-37635.1
;PROJECT NAME........:-ARNONE2
;DATA SAVED AS.......:-37635.RAW
;
10:36:35      06-22-1993
Carbon-Glass resistor from project 37635
T, R
K, -


 1.404431      105710.9 
 1.50373       67991.4 
 1.601854      45333.21 
 2.00537       12188.01 
 2.406444      4858.409 
 2.80231       2457.086 
 3.211739      1417.737 
 3.612632      920.167 
 4.005221      649.477 
 4.22275       548.9846 
 4.600447      423.5953 
 5.403905      271.789 
 6.210435      192.951 
 7.033366      146.2469 
 8.008346      112.5065 
 9.031472      90.18632 
 10.08089      74.91629 
 11.04838      64.90401 
 13.05247      51.1441 
 14.08625      46.2838 
 16.04516      39.48721 
 18.05289      34.59889 
 20.12728      30.9018 
 25.02311      25.19711 
 27.17206      23.48344 
 30.02377      21.6635 
 35.07354      19.27974 
 40.2273       17.53868 
 50.02964      15.2969 
 60.06113      13.79617 
 69.98855      12.74131 
 80.7403       11.88805 
 90.03468      11.3081 
 100.0104      10.79869 
 125.0224      9.850433 
 150.1396      9.183283 
 174.7671      8.688616 
 200.1106      8.284916 
 224.2288      7.967912 
 250.1211      7.679882 
 272.9255      7.459572 
 273.2694      7.456446 
 300.5964      7.224015 
