;****** CERNOX CX-1070-SD LOGARITHMIC RESISTOR *****
;Data for CERNOX sensor Model CX-1070-SD, serial no:-
;X01014 used for confirmation of use with ITC.
;Used for ITC502 Range CN3
14:02:13      06-17-1993
Cernox Resistor
T, R
K, -


 1.19614       197960 
 1.29896       147019 
 1.39602       113989 
 1.60635       71365.8 
 1.80012       50118.7 
 2.0012        36821.9 
 2.19825       28431.3 
 2.40772       22410.7 
 2.59373       18624.3 
 2.7898        15655.8 
 2.99581       13309.9 
 3.1931        11571.8 
 3.39997       10137.7 
 3.59756       9034.31 
 3.80883       8072.34 
 4.00288       7338.69 
 4.19132       6733.3 
 4.59046       5716.04 
 4.99178       4951.36 
 5.50076       4223.47 
 6.21694       3495.25 
 7.02783       2924.71 
 8.04319       2430.73 
 9.05743       2083.79 
 10.1041       1820.53 
 11.1212       1624.03 
 12.128        1469.6 
 13.1314       1344.22 
 14.1275       1240.6 
 15.1117       1153.93 
 16.074        1078.6 
 17.074        1014.37 
 18.0498       957.516 
 19.0206       907.164 
 20.0108       861.361 
 21.079        816.956 
 22.6892       758.43 
 24.1946       711.039 
 25.7822       667.339 
 27.3465       629.294 
 28.9907       593.787 
 30.7938       559.341 
 32.923        523.36 
 35.9213       480 
 38.9375       443.014 
 41.9073       411.727 
 44.9542       383.824 
 47.9237       359.99 
 49.9295       345.489 
 54.9557       313.786 
 59.9102       287.444 
 64.9457       264.939 
 74.8789       229.287 
 79.9064       214.585 
 84.8992       201.676 
 89.9185       190.081 
 94.9172       179.79 
 99.932        170.466 
 110.124       154.065 
 120.136       140.665 
 129.89        129.49 
 139.868       119.715 
 150.08        111.075 
 170.182       97.1278 
 179.865       91.5405 
 189.864       86.3916 
 199.875       81.769 
 209.891       77.6003 
 219.851       73.8509 
 229.862       70.4368 
 239.864       67.3297 
 249.855       64.487 
 259.851       61.8927 
 269.85        59.4918 
 279.863       57.2879 
 289.834       55.2574 
 299.864       53.3701 
 309.857       51.6084 
 314.87        50.7784 
 319.871       49.9758 
 326.002       49.0379 
 330.685       48.3476 
