;******* 2000 OHM RUTHENIUM OXIDE RESISTOR ********
;Data for 2000 Ohm Ruthium Oxide Resistor
;4/10/93
;Used for ITC502 Range CR11
17:13:20      06-17-1993
RuO
T, R
K, -


 6.271493E-02                21276.47
 6.776265E-02                19934.37 
 7.280292E-02                18801.72 
 7.782862E-02                17831.04 
 .0828559      16984.42 
 8.787428E-02                16239.2 
 9.294303E-02                15569.36 
 9.802354E-02                14967.07 
 .1030783      14425.8 
 .1081356      13933.37 
 .1131655      13485.49 
 .118213       13072.56 
 .1233345      12686.17 
 .1284364      12329.89 
 .1334981      12001.58 
 .1385847      11694.06 
 .1436833      11406.01 
 .1487811      11136.19 
 .1538648      10883.48 
 .1589208      10646.86 
 .1640399      10420.94 
 .1692168      10205.16 
 .1743369      10003.27 
 .1793859      9814.503 
 .1844666      9634.126 
 .1895729      9461.724 
 .1947006      9296.958 
 .1998432      9139.464 
 .2049963      8988.947 
 .2101527      8845.083 
 .2153078      8707.612 
 .2204542      8576.246 
 .2255868      8450.755 
 .2306977      8330.884 
 .2357816      8216.43 
 .2409856      8103.891 
 .2461546      7996.451 
 .2512823      7893.933 
 .2565264      7793.018 
 .2617206      7696.749 
 .266858       7604.972 
 .2721071      7514.536 
 .2772897      7428.353 
 .2823989      7346.296 
 .2876138      7265.344 
 .2929373      7185.482 
 .2981757      7109.483 
 .3033212      7037.234 
 .3085681      6965.884 
 .3139192      6895.417 
 .3191643      6828.479 
 .3242953      6764.97 
 .3295219      6702.186 
 .3348463      6640.115 
 .3400422      6581.285 
 .3451011      6525.617 
 .3502482      6470.525 
 .3554853      6416.003 
 .3608146      6362.042 
 .3662384      6308.641 
 .3715049      6258.174 
 .3766047      6210.575 
 .3817878      6163.42 
 .3870557      6116.705 
 .3924104      6070.424 
 .3978536      6024.573 
 .4031077      5981.404 
 .4081626      5940.863 
 .4132937      5900.658 
 .4185022      5860.786 
 .4237899      5821.247 
 .4291581      5782.036 
 .4346084      5743.147 
 .4401423      5704.581 
 .4454463      5668.449 
 .4505098      5634.699 
 .4556429      5601.197 
 .4608471      5567.942 
 .4661234      5534.929 
 .4714731      5502.155 
 .4768975      5469.621 
 .4823979      5437.325 
 .4879755      5405.264 
 .4936316      5373.434 
 .4990062      5343.801 
 .5040874      5316.325 
 .5092319      5289.027 
 .5144404      5261.899 
 .5197141      5234.945 
 .5250539      5208.158 
 .5304607      5181.542 
 .5359355      5155.092 
 .5414795      5128.81 
 .5470938      5102.694 
 .5527793      5076.739 
 .5585371      5050.949 
 .5639486      5027.144 
 .5690016      5005.293 
 .5741102      4983.56 
 .5792748      4961.945 
 .5844965      4940.443 
 .5897758      4919.058 
 .5951136      4897.785 
 .6005107      4876.629 
 .6059678      4855.582 
 .6114858      4834.65 
 .6170654      4813.829 
 .6227075      4793.117 
 .6284129      4772.516 
 .6341826      4752.025 
 .6400172      4731.642 
 .6459177      4711.367 
 .6513845      4692.875 
 .6564043      4676.142 
 .6614717      4659.483 
 .6665871      4642.9 
 .671751       4626.387 
 .6769642      4609.946 
 .682227       4593.579 
 .6875402      4577.285 
 .6929041      4561.06 
 .6983197      4544.906 
 .7037871      4528.824 
 .7093072      4512.813 
 .7148806      4496.87 
 .7205078      4480.999 
 .7261896      4465.196 
 .7319266      4449.46 
 .7377194      4433.795 
 .7435685      4418.198 
 .7494746      4402.67 
 .7554388      4387.208 
 .7614613      4371.813 
 .7675428      4356.485 
 .7736845      4341.224 
 .7798866      4326.029 
 .7855203      4312.408 
 .7905707      4300.347 
 .795661       4288.326 
 .8007919      4276.35 
 .8059637      4264.413 
 .8111767      4252.516 
 .8164312      4240.663 
 .8217281      4228.851 
 .827067       4217.077 
 .832449       4205.345 
 .8378744      4193.653 
 .8433434      4182.003 
 .8488564      4170.391 
 .8544143      4158.82 
 .8600174      4147.289 
 .8656656      4135.797 
 .8713596      4124.344 
 .8771007      4112.931 
 .8828884      4101.557 
 .8887232      4090.223 
 .8946061      4078.926 
 .9005375      4067.668 
 .9065176      4056.449 
 .9125468      4045.27 
 .9186265      4034.127 
 .9247561      4023.022 
 .9309367      4011.956 
 .9371689      4000.928 
 .9434531      3989.937 
 .9497898      3978.983 
 .9561793      3968.065 
 .9626231      3957.188 
 .9691205      3946.345 
 .9756731      3935.54 
 .9822811      3924.772 
 .9881081      3915.379 
 .9931376      3907.35 
 .9981997      3899.343 
 1.003294      3891.354 
 1.008421      3883.387 
 1.01358       3875.439 
 1.018774      3867.513 
 1.023999      3859.605 
 1.02926       3851.72 
 1.034554      3843.852 
 1.039882      3836.006 
 1.045245      3828.179 
 1.050642      3820.372 
 1.056075      3812.584 
 1.061544      3804.818 
 1.067048      3797.069 
 1.072588      3789.341 
 1.078164      3781.633 
 1.083777      3773.943 
 1.089428      3766.273 
 1.095115      3758.623 
 1.100841      3750.992 
 1.106604      3743.38 
 1.112406      3735.787 
 1.118245      3728.214 
 1.124125      3720.659 
 1.130044      3713.122 
 1.136002      3705.609 
 1.142001      3698.109 
 1.148039      3690.63 
 1.154119      3683.17 
 1.16024       3675.73 
 1.166403      3668.306 
 1.172607      3660.902 
 1.178854      3653.518 
 1.185143      3646.15 
 1.191476      3638.802 
 1.197851      3631.473 
 1.204272      3624.161 
 1.210736      3616.866 
 1.217245      3609.594 
 1.2238        3602.336 
 1.2304        3595.098 
 1.237045      3587.876 
 1.243738      3580.675 
 1.250477      3573.489 
 1.257264      3566.323 
 1.264099      3559.173 
 1.270981      3552.043 
 1.277913      3544.93 
 1.284894      3537.834 
 1.291925      3530.757 
 1.299006      3523.695 
 1.306139      3516.654 
 1.313321      3509.628 
 1.320557      3502.621 
 1.327843      3495.63 
 1.335184      3488.658 
 1.342577      3481.702 
 1.350025      3474.765 
 1.35627       3468.994 
 1.361297      3464.389 
 1.366347      3459.79 
 1.371421      3455.2 
 1.376523      3450.616 
 1.381647      3446.038 
 1.386798      3441.471 
 1.391974      3436.909 
 1.397175      3432.356 
 1.402402      3427.809 
 1.407656      3423.273 
 1.412935      3418.741 
 1.418242      3414.218 
 1.423573      3409.703 
 1.428932      3405.192 
 1.43432       3400.693 
 1.439732      3396.197 
 1.445172      3391.711 
 1.450642      3387.233 
 1.456137      3382.76 
 1.461661      3378.297 
 1.467213      3373.841 
 1.472793      3369.39 
 1.478402      3364.948 
 1.48404       3360.514 
 1.489706      3356.086 
 1.495402      3351.666 
 1.501128      3347.253 
 1.506882      3342.846 
 1.512668      3338.448 
 1.518482      3334.056 
 1.524326      3329.672 
 1.530204      3325.294 
 1.536109      3320.926 
 1.542046      3316.563 
 1.548016      3312.207 
 1.554015      3307.857 
 1.560048      3303.516 
 1.566112      3299.183 
 1.572207      3294.856 
 1.578336      3290.535 
 1.584497      3286.223 
 1.590691      3281.915 
 1.596918      3277.617 
 1.603179      3273.325 
 1.609473      3269.039 
 1.615803      3264.763 
 1.622165      3260.491 
 1.628562      3256.228 
 1.634996      3251.97 
 1.641462      3247.721 
 1.647964      3243.477 
 1.654504      3239.24 
 1.661077      3235.011 
 1.667688      3230.789 
 1.674336      3226.573 
 1.681019      3222.364 
 1.68774       3218.162 
 1.694499      3213.968 
 1.701295      3209.779 
 1.708129      3205.599 
 1.715003      3201.423 
 1.721913      3197.255 
 1.728865      3193.094 
 1.735854      3188.94 
