;*********** 470 OHM SPEER *********
;Typical calibration data for a
;470 Ohm Speer carbon resistor.
;Used for ITC502 Range CS01
14:11:09      06-17-1993
470R Speer
T, R
K, -


 .2            23169 
 .21           19583 
 .22           16959 
 .24           13374 
 .26           11040 
 .28           9400 
 .29           8750 
 .3            8400 
 .31           8000 
 .32           7700 
 .35           6800 
 .4            5750 
 .45           4900 
 .5            4400 
 .55           3950 
 .6            3625 
 .65           3350 
 .7            3100 
 .75           2900 
 .8            2725 
 .9            2450 
 1             2250 
 1.2           1950 
 1.4           1750 
 1.6           1620 
 1.8           1520 
 2             1430 
 2.5           1290 
 3             1195 
 3.5           1115 
 4             1070 
 4.5           1025 
 5             990 
 6             945 
 7             905 
 8             875 
 9             860 
 10            845 
 43            600 
 75            560 
 130           520 
 175           500 
 300           470 
