;******* LAKE SHORE SILICON DIODE ******
;Silicon Diode Calibration Data
;STANDARD CURVE #10
;10uA Energising current
;Used for ITC502 Range DS31
14:09:18      06-17-1993
Si Diode
T, R
K, -


 1.4           1.69812 
 1.6           1.69521 
 1.8           1.69177 
 2             1.68786 
 2.2           1.68352 
 2.4           1.6788 
 2.6           1.67376 
 2.8           1.66845 
 3             1.66292 
 3.2           1.65721 
 3.4           1.65134 
 3.6           1.64529 
 3.8           1.63905 
 4             1.63263 
 4.2           1.62602 
 4.4           1.6192 
 4.6           1.6122 
 4.8           1.60506 
 5             1.59782 
 5.5           1.57928 
 6             1.56027 
 6.5           1.54097 
 7             1.52166 
 7.5           1.50272 
 8             1.48443 
 8.5           1.467 
 9             1.45048 
 9.5           1.43488 
 10            1.42013 
 10.5          1.40615 
 11            1.39287 
 11.5          1.38021 
 12            1.36809 
 12.5          1.35647 
 13            1.3453 
 13.5          1.33453 
 14            1.32412 
 14.5          1.31403 
 15            1.30422 
 15.5          1.29464 
 16            1.28527 
 16.5          1.27607 
 17            1.26702 
 17.5          1.2581 
 18            1.24928 
 18.5          1.24053 
 19            1.23184 
 19.5          1.22314 
 20            1.2144 
 21            1.19645 
 22            1.17705 
 22.2          1.17275 
 22.4          1.16846 
 22.6          1.16416 
 22.8          1.15987 
 23            1.15558 
 23.2          1.15166 
 23.4          1.14774 
 23.6          1.14382 
 23.8          1.1399 
 24            1.13598 
 24.2          1.13371 
 24.4          1.13144 
 24.6          1.12917 
 24.8          1.1269 
 25            1.12463 
 25.2          1.12349 
 25.4          1.12236 
 25.6          1.12122 
 25.8          1.12009 
 26            1.11896 
 26.2          1.1182 
 26.4          1.11744 
 26.6          1.11668 
 26.8          1.11592 
 27            1.11517 
 28            1.11212 
 29            1.10945 
 30            1.10702 
 32            1.10263 
 34            1.09864 
 36            1.0949 
 38            1.09131 
 40            1.08781 
 42            1.08436 
 44            1.08093 
 46            1.07748 
 48            1.07402 
 50            1.07053 
 52            1.067 
 54            1.06346 
 56            1.05988 
 58            1.05629 
 60            1.05267 
 65            1.04353 
 70            1.03425 
 75            1.02482 
 80            1.01525 
 85            1.00552 
 90            .99565 
 95            .98564 
 100           .9755 
 110           .95487 
 120           .93383 
 130           .91243 
 140           .89072 
 150           .86873 
 160           .8465 
 170           .82404 
 180           .80138 
 190           .77855 
 200           .75554 
 210           .73238 
 220           .70908 
 230           .68564 
 240           .66208 
 250           .63841 
 260           .61465 
 270           .5908 
 280           .5669 
 290           .54294 
 300           .51892 
 310           .49484 
 320           .47069 
 330           .44647 
 340           .42221 
 350           .39783 
 360           .37337 
 370           .34881 
 380           .32416 
 390           .29941 
 400           .27456 
 410           .24963 
 420           .22463 
 430           .19961 
 440           .17464 
 450           .14985 
 460           .12547 
 470           .10191 
 475           .09062 
