;*********** OXFORD SILICON DIODE *********
;Typical calibration data for an Oxford Instruments
;Silicon Diode at 10uA excitation current
;100 Ohm Allen Bradley carbon resistor.
;Used for ITC502 Range DS32
14:09:02      06-17-1993
Si Diode
T, R
K, -


 .1            1866.63
 .2            1863.1
 .3            1859.57
 .4            1856.03
 .5            1852.5
 .6            1848.97
 .7            1845.44
 .8            1841.91
 .9            1838.37
 1             1834.84
 1.1           1831.31
 1.2           1827.78
 1.3           1824.24
 1.4           1820.71
 1.5           1817.18
 1.6           1813.65
 1.7           1810.11
 1.8           1806.58
 1.9           1803.05
 2             1799.523
 3             1764.2
 4             1713.979
 5             1656.4
 6             1596.647
 7             1539.393
 8             1488.402
 9             1443.034
 10            1403.04
 11            1367.989
 12            1336.936
 13            1308.457
 14            1282.674
 15            1259.053
 16            1237.567
 17            1217.548
 18            1199.887
 19            1183.076
 20            1161.717
 20.1          1159.83
 20.2          1157.95
 20.3          1156.06
 20.4          1154.18
 20.5          1152.3
 20.6          1150.41
 20.7          1148.53
 20.8          1146.65
 20.9          1144.76
 21            1142.88
 21.1          1141.
 21.2          1139.11
 21.3          1137.23
 21.4          1135.35
 21.5          1133.46
 21.6          1131.58
 21.7          1129.7
 21.8          1127.81
 21.9          1125.93
 22            1124.05
 22.1          1123.48
 22.2          1122.92
 22.3          1122.36
 22.4          1121.8
 22.5          1121.24
 22.6          1120.67
 22.7          1120.11
 22.8          1119.55
 22.9          1118.99
 23            1118.43
 23.1          1118.11
 23.2          1117.79
 23.3          1117.48
 23.4          1117.16
 23.5          1116.85
 23.6          1116.53
 23.7          1116.22
 23.8          1115.9
 23.9          1115.59
 24            1115.278
 24.1          1115.05
 24.2          1114.83
 24.3          1114.61
 24.4          1114.39
 24.5          1114.16
 24.6          1113.94
 24.7          1113.72
 24.8          1113.5
 24.9          1113.28
 25            1113.05
 25.1          1112.83
 25.2          1112.61
 25.3          1112.39
 25.4          1112.17
 25.5          1111.94
 25.6          1111.72
 25.7          1111.5
 25.8          1111.28
 25.9          1111.06
 26            1110.84
 27            1109.
 28            1107.176
 29            1105.457
 30            1103.737
 31            1102.082
 32            1100.432
 33            1098.782
 34            1097.132
 35            1095.5
 36            1093.871
 37            1092.241
 38            1090.611
 39            1088.993
 40            1087.377
 41            1085.761
 42            1084.145
 44            1080.924
 46            1077.705
 48            1074.539
 50            1071.373
 52            1068.211
 54            1065.049
 56            1061.889
 58            1058.731
 60            1055.573
 62            1052.357
 64            1049.137
 66            1045.917
 68            1042.697
 70            1039.477
 73            1034.478
 76            1029.473
 79            1024.468
 82            1019.372
 85            1014.227
 88            1009.081
 91            1003.881
 94            998.566
 97            993.25
 100           987.935
 103           982.446
 106           976.956
 109           971.466
 112           965.861
 115           960.197
 118           954.532
 121           948.821
 124           943.013
 127           937.205
 130           931.396
 135           921.429
 140           911.459
 150           891.103
 155           880.671
 160           870.233
 165           859.697
 170           849.158
 175           838.463
 180           827.763
 185           816.977
 190           806.188
 195           795.265
 200           784.337
 205           773.34
 210           762.341
 215           751.266
 220           740.188
 225           729.127
 230           718.066
 235           706.895
 240           695.723
 245           684.514
 250           673.305
 255           662.111
 260           650.917
 265           639.626
 270           628.326
 275           617.029
 280           605.732
 285           594.445
 290           583.158
 295           571.829
 300           560.5
