;*********** 27 OHM RHODIUM IRON RESISTOR *********
;Rhodium Iron resistance thermometer 3/2/93
;This resistance vs temperature curve is taken from the 1985
;RhFe reference scale revised to ITS-90 with the triple point
;resistance of 27.014 and the helium point of 1.93 ohms
;These values have been a mean of the 27 ohm for the last year
;This gives an error of +0.2 K at 77 K.
;Used for ITC502 Range RF52
14:04:32      06-17-1993
RhFe Resistor
T, R
K, -


 .5831         1.35 
 .8616         1.4 
 1.1426        1.45 
 1.4276        1.5 
 1.7179        1.55 
 2.0148        1.6 
 2.3195        1.65 
 2.6331        1.7 
 2.957         1.75 
 3.292         1.8 
 3.6391        1.85 
 3.9993        1.9 
 4.3734        1.95 
 4.7622        2 
 5.1668        2.05 
 5.5881        2.1 
 6.0273        2.15 
 6.4856        2.2 
 6.9644        2.25 
 7.465         2.3 
 7.9888        2.35 
 8.5374        2.4 
 9.1123        2.45 
 9.7149        2.5 
 10.3469       2.55 
 11.0099       2.6 
 11.7059       2.65 
 12.4366       2.7 
 13.2041       2.75 
 14.0107       2.8 
 14.8583       2.85 
 15.7491       2.9 
 16.685        2.95 
 17.6671       3 
 18.6961       3.05 
 19.7717       3.1 
 20.8922       3.15 
 22.0546       3.2 
 23.254        3.25 
 24.4842       3.3 
 25.7372       3.35 
 27.0041       3.4 
 28.275        3.45 
 29.5403       3.5 
 30.7913       3.55 
 32.0212       3.6 
 33.2277       3.65 
 34.4064       3.7 
 35.5549       3.75 
 36.6724       3.8 
 37.7591       3.85 
 38.8156       3.9 
 39.8428       3.95 
 40.8421       4 
 42.7622       4.1 
 44.5869       4.2 
 46.3269       4.3 
 47.992        4.4 
 49.5908       4.5 
 51.1309       4.6 
 52.6189       4.7 
 54.0603       4.8 
 55.4602       4.9 
 56.8226       5 
 58.1513       5.1 
 59.4494       5.2 
 60.7198       5.3 
 61.9649       5.4 
 63.1869       5.5 
 64.3876       5.6 
 65.5689       5.7 
 66.7323       5.8 
 67.8791       5.9 
 69.0106       6 
 70.1279       6.1 
 71.232        6.2 
 72.324        6.3 
 73.4046       6.4 
 74.4746       6.5 
 75.5348       6.6 
 76.5858       6.7 
 77.6282       6.8 
 78.6626       6.9 
 79.6895       7 
 80.7094       7.1 
 81.7228       7.2 
 82.7301       7.3 
 83.7316       7.4 
 84.7278       7.5 
 85.7189       7.6 
 86.7054       7.7 
 87.6875       7.8 
 88.6655       7.9 
 89.6396       8 
 99.2177       9 
 108.6138      10 
 117.9369      11 
 127.252       12 
 136.5978      13 
 145.9964      14 
 155.4592      15 
 164.9901      16 
 174.5886      17 
 184.251       18 
 193.9718      19 
 203.7444      20 
 213.5617      21 
 223.4166      22 
 233.3019      23 
 243.211       24 
 253.1376      25 
 263.076       26 
 273.0207      27 
 292.9108      29 
 312.7801      31 
 332.6028      33 
 352.3527      35 
 372.0097      37 
 391.559       39 
 410.9897      41 
 430.2941      43 
 449.4663      45 
 468.5017      47 
 487.3967      49 
 506.1486      51 
 524.7556      53 
 543.2169      55 
 561.533       57 
 579.705       59 
 597.735       61 
 615.6248      63 
 633.3764      65 
 650.9909      67 
 668.4688      69 
 685.81        71 
 703.0144      73 
 720.0826      75 
 737.0171      77 
 753.8218      79 
 770.5015      81 
 787.0578      83 
 803.4806      85 
 819.7331      87 
