;*********** CLTS *********
;Typical calibration data for the CLTS
;(Cryogenic Linear Temperature Sensor)
;Used for ITC502 Range RL3
14:08:49      06-17-1993
CLTS
T, R
K, -


 2.022         220.909 
 2.246         220.938 
 2.427         220.961 
 3.072         221.057 
 3.6           221.143 
 4.056         221.22 
 4.187         221.245 
 5.043         221.401 
 5.852         221.561 
 6.298         221.651 
 6.948         221.784 
 7.967         222.004 
 9.021         222.228 
 9.998         222.441 
 12.119        222.895 
 14.072        223.31 
 15.969        223.709 
 18.022        224.135 
 20.124        224.566 
 25.218        225.605 
 30.117        226.616 
 34.951        227.64 
 40.035        228.76 
 49.926        231.072 
 61.083        233.859 
 69.625        236.08 
 74.345        237.324 
 79.937        238.817 
 90.04         241.497 
 100.148       244.163 
 128.069       251.296 
 153.385       257.432 
 174.571       262.382 
 196.05        267.307 
 223.596       273.593 
 248.928       279.252 
 268.79        284.207 
 275.599       285.868 
 300.031       291.972 
