;****** PLATINUM RESISTACE THERMOMETER *****
;Data for Platinum Resistance Thermometer.
;To IEC 751:1983 (BS1904: 1984, DIN 43760: 1980).
;Temperatures in Celcius
;Used for ITC502 Range RP1
14:04:53      06-17-1993
Plat Resistor
T, R
C, -


-200           18.56 
-190           22.83 
-180           27.11 
-170           31.34 
-160           35.54 
-150           39.72 
-140           43.88 
-130           48.01 
-120           52.12 
-110           56.21 
-100           60.28 
-90            64.32 
-80            68.34 
-70            72.35 
-60            76.34 
-50            80.32 
-40            84.29 
-30            88.23 
-20            92.16 
-10            96.09 
 0             100 
 10            103.9 
 20            107.79 
 30            111.67 
 40            115.54 
 50            119.4 
 60            123.24 
 70            127.07 
 80            130.89 
 90            134.7 
 100           138.5 
 110           142.29 
 120           146.06 
 130           149.82 
 140           153.57 
 150           157.31 
 160           161.04 
 170           164.76 
 180           168.46 
 190           172.16 
 200           175.83 
 210           179.5 
 220           183.16 
 230           186.82 
 240           190.45 
 250           194.07 
 260           197.69 
 270           201.29 
 280           204.88 
 290           208.46 
 300           212.02 
 310           215.58 
 320           219.12 
 330           222.26 
 340           226.18 
 350           229.69 
 360           233.19 
 370           236.68 
 380           240.16 
 390           243.61 
 400           247.08 
 410           250.52 
 420           253.95 
 430           257.37 
 440           260.77 
 450           264.17 
 460           267.56 
 470           270.94 
 480           274.29 
 490           277.64 
 500           280.98 
 510           284.31 
 520           287.63 
 530           290.93 
 540           294.22 
