;****** PURE PLATINUM RESISTANCE THERMOMETER *****
;Data for a Pure-Platinum Resistance Thermometer.
;Data is based on Callendar Van Dusen equation
;combined with measurements made at Oxford Instruments.
;Data below 13.5K has no physical significance. It has
;been added to provide a smooth start to the Spline fit
;above this temperature.
;Used for ITC502 Range RP5
14:06:19      06-17-1993
Plat Resistor
T, R
K, -


 1             .000098 
 2             .00071 
 3             .0022 
 4             .0051 
 5             .0096 
 6             .016 
 8             .036 
 10            .069 
 12            .116 
 13.15         .15 
 15            .218 
 18            .367 
 23.15         .75 
 33.15         2.46 
 43.15         5.29 
 53.15         8.89 
 63.15         12.93 
 73.15         17.19 
 83.15         21.51 
 93.15         25.86 
 103.15        30.17 
 113.15        34.45 
 123.15        38.7 
 133.15        42.93 
 143.15        47.12 
 153.15        51.3 
 163.15        55.45 
 173.15        59.58 
 183.15        63.7 
 193.15        67.79 
 203.15        71.87 
 213.15        75.93 
 223.15        79.97 
 233.15        84 
 243.15        88.02 
 253.15        92.03 
 263.15        96.02 
 273.15        100 
 283.15        103.97 
 293.15        107.93 
 303.15        111.87 
 313.15        115.8 
 333.15        123.64 
 353.15        131.42 
 373.15        139.16 
 423.15        158.3 
 473.15        177.15 
 523.15        195.7 
 573.15        213.97 
 623.15        231.94 
 673.15        249.61 
 723.15        267 
 773.15        284.09 
 823.15        300.93 
 873.15        317.4 
 923.15        333.6 
 973.15        349.53 
 1023.15       365.16 
