;****** PLATINUM RESISTANCE THERMOMETER *****
;Data for Balasted Platinum Resistance Thermometer.
;To IEC 751:1983 (BS1904: 1984, DIN 43760: 1980).
;Temperatures in Kelvin
;Used for ITC502 Range RP51
14:06:45      06-17-1993
Plat Resistor
T, R
K, -


 53.1          10.45 
 63.1          14.4 
 73.1          18.56 
 83.1          22.83 
 93.1          27.11 
 103.1         31.34 
 113.1         35.54 
 123.1         39.72 
 133.1         43.88 
 143.1         48.01 
 153.1         52.12 
 163.1         56.21 
 173.1         60.28 
 183.1         64.32 
 193.1         68.34 
 203.1         72.35 
 213.1         76.34 
 223.1         80.32 
 233.1         84.29 
 243.1         88.23 
 253.1         92.16 
 263.1         96.09 
 273.1         100 
 283.1         103.9 
 293.1         107.79 
 303.1         111.67 
 313.1         115.54 
 323.1         119.4 
 333.1         123.24 
 343.1         127.07 
 353.1         130.89 
 363.1         134.7 
 373.1         138.5 
 383.1         142.29 
 393.1         146.06 
 403.1         149.82 
 413.1         153.57 
 423.1         157.31 
 433.1         161.04 
 443.1         164.76 
 453.1         168.46 
 463.1         172.16 
 473.1         175.83 
 483.1         179.5 
 493.1         183.16 
 503.1         186.82 
 513.1         190.45 
 523.1         194.07 
 533.1         197.69 
 543.1         201.29 
 553.1         204.88 
 563.1         208.46 
 573.1         212.02 
 583.1         215.58 
 593.1         219.12 
 603.1         222.26 
 613.1         226.18 
 623.1         229.69 
 633.1         233.19 
 643.1         236.68 
 653.1         240.16 
 663.1         243.61 
 673.1         247.08 
 683.1         250.52 
 693.1         253.95 
 703.1         257.37 
 713.1         260.67 
 723.1         264.17 
 733.1         267.56 
 743.1         270.94 
 753.1         274.29 
 763.1         277.64 
 773.1         280.98 
 783.1         284.31 
 793.1         287.63 
 803.1         290.93 
 813.1         294.22 
