;****** GOLD/IRON CHROMEL THERMOCOUPLE (0.03% IRON) *****
;Temperatures in Kelvin, Tref=4.2K
;(Subtract 1.0750 for 77.31 reference)
;Used for ITC502 Range TG5
14:01:33      06-17-1993
AuFe 0.03/Chr
T, R
K, -


 1            -.04004 
 1.1          -.038856 
 1.2          -.037672 
 1.3          -.036488 
 1.4          -.035304 
 1.5          -.03412 
 1.75         -.03116 
 2            -.0282 
 2.25         -.02524 
 2.5          -.02225 
 2.75         -.01922 
 3            -.01604 
 3.25         -.01283 
 3.5          -.00963 
 3.75         -.0063 
 4            -.00287 
 4.22          0 
 4.66          .0063 
 5.34          .0165 
 5.94          .0255 
 7.22          .0449 
 8.1           .0592 
 9.21          .0769 
 10.07         .0913 
 13.2          .1433 
 16.23         .1935 
 21.01         .271 
 25.67         .3429 
 30.05         .4062 
 34.79         .4733 
 40.06         .5468 
 50.08         .6856 
 60.77         .8341 
 70.45         .9732 
 81            1.131 
 91.28         1.292 
 101.54        1.4561 
 124.42        1.8416 
 150.5         2.3044 
 175.13        2.7623 
 199.95        3.2411 
 224.52        3.7318 
 249.89        4.2517 
 273.03        4.7347 
 300.69        5.318 
 400           7.302 
 500           9.389 
