;****** CHROMEL ALUMEL (Type K) THERMOCOUPLE *****
;Temperatures in Celcius, Tref=OC
;Used for ITC502 Ranges TK10 and TK13
14:03:54      06-17-1993
Chromel/Alumel
T, R
C, -


-270          -6.458 
-269          -6.457 
-268          -6.456 
-267          -6.455 
-266          -6.453 
-265          -6.452 
-264          -6.45 
-263          -6.448 
-262          -6.446 
-261          -6.444 
-260          -6.441 
-255          -6.425 
-250          -6.404 
-245          -6.377 
-240          -6.344 
-230          -6.262 
-220          -6.158 
-210          -6.035 
-200          -5.891 
-190          -5.73 
-170          -5.354 
-150          -4.912 
-120          -4.138 
-70           -2.586 
-20           -.777 
 30            1.203 
 80            3.266 
 130           5.327 
 180           7.338 
 230           9.341 
 330           13.456 
 430           17.664 
 530           21.919 
 630           26.176 
 730           30.383 
 830           34.502 
 930           38.519 
 1030          42.432 
 1130          46.238 
 1230          49.916 
 1330          53.439 
 1372          54.875 
