;****** COPPER CONSTANTAN THERMOCOUPLE *****
;Temperatures in Celcius, Tref=0C
;Used for ITC502 Range TT4.
14:03:25      06-17-1993
Copper/Const.
T, R
C, -


-270          -6.258 
-269          -6.256 
-268          -6.255 
-260          -6.252
-250          -6.181 
-240          -6.105 
-230          -6.007 
-220          -5.889 
-210          -5.753 
-200          -5.603 
-190          -5.439 
-180          -5.261 
-170          -5.069 
-160          -4.865 
-150          -4.648 
-140          -4.419 
-100          -3.378 
-50           -1.819 
 1             .039 
 50            2.035 
 100           4.277 
 150           6.702 
 200           9.286 
 210           9.82 
 220           10.36 
 300           14.86 
 390           20.252 
 400           20.869 
