;****** COPPER CONSTANTAN THERMOCOUPLE *****
;Temperatures in Kelvin, Tref=4.2K
;Used for ITC502 Range TT5
14:02:50      06-17-1993
Copper/Const.
T, R
K, -


 3.15          0 
 4.15          .002 
 5.15          .003 
 6.15          .005 
 7.15          .007 
 8.15          .01 
 9.15          .013 
 13.15         .026 
 23.15         .077 
 33.15         .153 
 43.15         .251 
 53.15         .369 
 63.15         .505 
 73.15         .655 
 83.15         .819 
 93.15         .997 
 103.15        1.189 
 113.15        1.393 
 123.15        1.61 
 133.15        1.839 
 173.15        2.88 
 223.15        4.439 
 274.15        6.297 
 323.15        8.293 
 373.15        10.535 
 423.15        12.96 
 473.15        15.544 
 483.15        16.078 
 493.15        16.618 
 573.15        21.118 
 663.15        26.51 
 673.15        27.127 
