Temperature             Resistance
(Kelvin)                (Ohms)

1.60657210000000E-02   6.78540000000000E+03
1.80330670000000E-02   6.44320000000000E+03
2.01082480000000E-02   6.14080000000000E+03
2.23019370000000E-02   5.87160000000000E+03
2.39747750000000E-02   5.68280000000000E+03
2.60867440000000E-02   5.52600000000000E+03
2.82625410000000E-02   5.35430000000000E+03
2.98223090000000E-02   5.23870000000000E+03
3.23555530000000E-02   5.07604000000000E+03
3.55591030000000E-02   4.91710000000000E+03
3.76295060000000E-02   4.80720000000000E+03
3.97229480000000E-02   4.70151000000000E+03
4.37437380000000E-02   4.51144000000000E+03
4.78946710000000E-02   4.36844000000000E+03
5.16646410000000E-02   4.23943000000000E+03
5.66369890000000E-02   4.10067000000000E+03
6.39904080000000E-02   3.90780000000000E+03
7.39775510000000E-02   3.70412000000000E+03
8.35828470000000E-02   3.55240000000000E+03
9.59436290000000E-02   3.39376000000000E+03
1.12002172000000E-01   3.22907000000000E+03
1.27973576000000E-01   3.09337000000000E+03
1.45945756000000E-01   2.96817000000000E+03
1.62036635000000E-01   2.87573000000000E+03
1.82069102000000E-01   2.77999000000000E+03
2.03982583000000E-01   2.69291000000000E+03
2.29997483000000E-01   2.60567000000000E+03
2.60048695000000E-01   2.52280000000000E+03
2.89931484000000E-01   2.45182000000000E+03
3.09978949000000E-01   2.41123000000000E+03
3.29975467000000E-01   2.37303000000000E+03
3.67784315000000E-01   2.30913000000000E+03
4.17933050000000E-01   2.23808000000000E+03
4.76071974000000E-01   2.17000000000000E+03
5.35288863000000E-01   2.11301000000000E+03
6.09792851000000E-01   2.05434000000000E+03
6.84981546000000E-01   2.00591000000000E+03
7.64822121000000E-01   1.96324000000000E+03
8.55038884000000E-01   1.92246000000000E+03
9.49873930000000E-01   1.88579000000000E+03
1.05018255900000E+00   1.85277000000000E+03
1.14411386000000E+00   1.82527000000000E+03
1.20144078000000E+00   1.81002000000000E+03
1.29754047280540E+00   1.78487520604109E+03
1.39958502912273E+00   1.76367055031461E+03
1.59938848404993E+00   1.72803346482164E+03
1.79890525322510E+00   1.69841692005652E+03
1.99946464764534E+00   1.67335167142183E+03
2.19878421260437E+00   1.65206424687154E+03
2.39833880383557E+00   1.63353252387931E+03
2.60434395261648E+00   1.61612090390744E+03
2.80091562377183E+00   1.60135074931925E+03
2.99924219431935E+00   1.58809702262389E+03
3.19472548865602E+00   1.57610591478683E+03
3.39581125990420E+00   1.56481769531244E+03
3.59580349854458E+00   1.55444560917437E+03
3.79421643137633E+00   1.54494010852369E+03
3.99365799327210E+00   1.53609034183076E+03
4.21332926327838E+00   1.52686381517305E+03
4.60830983833478E+00   1.51187601421625E+03
5.01106097056180E+00   1.49800744100733E+03
5.51290933673332E+00   1.48273340434370E+03
6.21573661681404E+00   1.46397927778695E+03
7.02942199127375E+00   1.44506367398967E+03
8.04027203769439E+00   1.42467666911529E+03
9.04624323064759E+00   1.40665179453507E+03
1.00540631252901E+01   1.39046324172141E+03
1.10690360544499E+01   1.37563541783521E+03
1.20819790431625E+01   1.36205434731272E+03
1.30876950189333E+01   1.34961625165298E+03
1.40906171288284E+01   1.33810648772350E+03
1.50861597514747E+01   1.32744364740314E+03
1.60768112205820E+01   1.31760438026312E+03
1.70623675322318E+01   1.30831028772185E+03
1.80519187949781E+01   1.29956076029110E+03
1.90379921975874E+01   1.29148932441680E+03
2.00280400047935E+01   1.28368954013958E+03
2.11176671116708E+01   1.27561843206494E+03
2.27088337341437E+01   1.26468981183880E+03
2.43099451314324E+01   1.25438693803773E+03
2.59013940351798E+01   1.24516153462592E+03
2.75160081255084E+01   1.23624920391204E+03
2.91218417476768E+01   1.22804169612284E+03
3.09353128319748E+01   1.21934597762305E+03
3.30423452060377E+01   1.21004771461489E+03
3.60465418487338E+01   1.19794698447195E+03
3.90365013482721E+01   1.18704500852366E+03
4.20344315841459E+01   1.17717853964617E+03
4.50263512404916E+01   1.16819449684127E+03
