Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   0.020   6.143908E+03   -1.478401E+05   -4.8126E-01
   0.022   5.891134E+03   -1.098175E+05   -4.1011E-01
   0.024   5.691314E+03   -9.123812E+04   -3.8475E-01
   0.026   5.521917E+03   -7.913037E+04   -3.7259E-01
   0.028   5.372120E+03   -7.108482E+04   -3.7050E-01
   0.030   5.236161E+03   -6.513204E+04   -3.7317E-01
   0.032   5.110811E+03   -6.036310E+04   -3.7795E-01
   0.034   4.994198E+03   -5.633590E+04   -3.8353E-01
   0.036   4.885185E+03   -5.274007E+04   -3.8865E-01
   0.038   4.783050E+03   -4.943447E+04   -3.9274E-01
   0.040   4.687309E+03   -4.633871E+04   -3.9544E-01
   0.042   4.597573E+03   -4.342653E+04   -3.9671E-01
   0.044   4.513489E+03   -4.068479E+04   -3.9662E-01
   0.046   4.434719E+03   -3.811635E+04   -3.9537E-01
   0.048   4.360905E+03   -3.572548E+04   -3.9323E-01
   0.050   4.291697E+03   -3.351239E+04   -3.9043E-01
   0.055   4.136529E+03   -2.872751E+04   -3.8197E-01
   0.060   4.002833E+03   -2.489086E+04   -3.7310E-01
   0.065   3.886332E+03   -2.182745E+04   -3.6507E-01
   0.070   3.783618E+03   -1.933987E+04   -3.5780E-01
   0.075   3.692162E+03   -1.731465E+04   -3.5172E-01
   0.080   3.609908E+03   -1.563420E+04   -3.4647E-01
   0.085   3.535369E+03   -1.422295E+04   -3.4196E-01
   0.090   3.467349E+03   -1.301413E+04   -3.3780E-01
   0.095   3.404948E+03   -1.197310E+04   -3.3406E-01
   0.100   3.347381E+03   -1.107196E+04   -3.3076E-01
   0.110   3.244512E+03   -9.563658E+03   -3.2424E-01
   0.120   3.155038E+03   -8.371491E+03   -3.1840E-01
   0.130   3.076344E+03   -7.401228E+03   -3.1276E-01
   0.140   3.006473E+03   -6.596846E+03   -3.0719E-01
   0.150   2.943956E+03   -5.926444E+03   -3.0196E-01
   0.160   2.887609E+03   -5.358448E+03   -2.9691E-01
   0.170   2.836503E+03   -4.874702E+03   -2.9216E-01
   0.180   2.789893E+03   -4.457865E+03   -2.8762E-01
   0.190   2.747151E+03   -4.098712E+03   -2.8348E-01
   0.200   2.707770E+03   -3.784659E+03   -2.7954E-01
   0.210   2.671321E+03   -3.510887E+03   -2.7600E-01
   0.220   2.637449E+03   -3.268536E+03   -2.7264E-01
   0.230   2.605854E+03   -3.055130E+03   -2.6965E-01
   0.240   2.576267E+03   -2.865333E+03   -2.6693E-01
   0.250   2.548485E+03   -2.694116E+03   -2.6429E-01
   0.260   2.522326E+03   -2.540570E+03   -2.6188E-01
   0.270   2.497620E+03   -2.403131E+03   -2.5979E-01
   0.280   2.474214E+03   -2.280414E+03   -2.5807E-01
   0.290   2.451965E+03   -2.171812E+03   -2.5687E-01
   0.300   2.430766E+03   -2.066829E+03   -2.5508E-01
   0.320   2.391613E+03   -1.857680E+03   -2.4856E-01
   0.340   2.355726E+03   -1.740683E+03   -2.5123E-01
   0.360   2.322011E+03   -1.628692E+03   -2.5251E-01
   0.380   2.290644E+03   -1.508428E+03   -2.5024E-01
   0.400   2.261612E+03   -1.396355E+03   -2.4697E-01
   0.420   2.234727E+03   -1.293673E+03   -2.4314E-01
   0.440   2.209805E+03   -1.199970E+03   -2.3893E-01
   0.460   2.186671E+03   -1.114839E+03   -2.3452E-01
   0.480   2.165157E+03   -1.037838E+03   -2.3008E-01
   0.500   2.145105E+03   -9.686509E+02   -2.2578E-01
   0.550   2.100382E+03   -8.272297E+02   -2.1662E-01
   0.600   2.061851E+03   -7.187161E+02   -2.0915E-01
   0.650   2.028095E+03   -6.345528E+02   -2.0337E-01
   0.700   1.998119E+03   -5.670169E+02   -1.9864E-01
   0.750   1.971201E+03   -5.114239E+02   -1.9459E-01
   0.800   1.946819E+03   -4.650871E+02   -1.9112E-01
   0.850   1.924582E+03   -4.254298E+02   -1.8789E-01
   0.900   1.904183E+03   -3.912682E+02   -1.8493E-01
   0.950   1.885385E+03   -3.613462E+02   -1.8207E-01
   1.000   1.867990E+03   -3.349586E+02   -1.7931E-01
   1.050   1.851840E+03   -3.114985E+02   -1.7662E-01
   1.100   1.836799E+03   -2.905193E+02   -1.7398E-01
   1.150   1.822753E+03   -2.716629E+02   -1.7140E-01
   1.200   1.809602E+03   -2.546716E+02   -1.6888E-01
   1.300   1.785653E+03   -2.252561E+02   -1.6399E-01
   1.400   1.764381E+03   -2.009288E+02   -1.5943E-01
   1.500   1.745336E+03   -1.805099E+02   -1.5514E-01
   1.600   1.728173E+03   -1.632711E+02   -1.5116E-01
   1.700   1.712595E+03   -1.486374E+02   -1.4754E-01
   1.800   1.698377E+03   -1.360636E+02   -1.4420E-01
   1.900   1.685325E+03   -1.252123E+02   -1.4116E-01
   2.000   1.673287E+03   -1.157713E+02   -1.3838E-01
   2.100   1.662131E+03   -1.075188E+02   -1.3584E-01
   2.200   1.651751E+03   -1.002493E+02   -1.3352E-01
   2.300   1.642053E+03   -9.381583E+01   -1.3141E-01
   2.400   1.632964E+03   -8.809172E+01   -1.2947E-01
   2.500   1.624415E+03   -8.296978E+01   -1.2769E-01
   2.600   1.616353E+03   -7.836628E+01   -1.2606E-01
   2.700   1.608727E+03   -7.421673E+01   -1.2456E-01
   2.800   1.601496E+03   -7.045282E+01   -1.2318E-01
   2.900   1.594625E+03   -6.703116E+01   -1.2190E-01
   3.000   1.588080E+03   -6.390700E+01   -1.2073E-01
   3.100   1.581835E+03   -6.104569E+01   -1.1963E-01
   3.200   1.575864E+03   -5.841392E+01   -1.1862E-01
   3.300   1.570145E+03   -5.599179E+01   -1.1768E-01
   3.400   1.564659E+03   -5.376231E+01   -1.1683E-01
   3.500   1.559387E+03   -5.168436E+01   -1.1600E-01
   3.600   1.554318E+03   -4.972190E+01   -1.1516E-01
   3.700   1.549437E+03   -4.794160E+01   -1.1448E-01
   3.800   1.544722E+03   -4.640197E+01   -1.1415E-01
   3.900   1.540160E+03   -4.477711E+01   -1.1338E-01
   4.000   1.535778E+03   -4.280255E+01   -1.1148E-01
   4.200   1.527539E+03   -4.004952E+01   -1.1012E-01
   4.400   1.519661E+03   -3.863831E+01   -1.1187E-01
   4.600   1.512126E+03   -3.660554E+01   -1.1136E-01
   4.800   1.505031E+03   -3.440378E+01   -1.0972E-01
   5.000   1.498341E+03   -3.254982E+01   -1.0862E-01
   5.200   1.491994E+03   -3.094719E+01   -1.0786E-01
   5.400   1.485953E+03   -2.948188E+01   -1.0714E-01
   5.600   1.480192E+03   -2.814987E+01   -1.0650E-01
   5.800   1.474685E+03   -2.694125E+01   -1.0596E-01
   6.000   1.469408E+03   -2.585231E+01   -1.0556E-01
   6.500   1.457069E+03   -2.359152E+01   -1.0524E-01
   7.000   1.445746E+03   -2.176928E+01   -1.0540E-01
   7.500   1.435245E+03   -2.027482E+01   -1.0595E-01
   8.000   1.425433E+03   -1.901151E+01   -1.0670E-01
   8.500   1.416202E+03   -1.793385E+01   -1.0764E-01
   9.000   1.407477E+03   -1.698536E+01   -1.0861E-01
   9.500   1.399198E+03   -1.614576E+01   -1.0962E-01
  10.000   1.391318E+03   -1.538873E+01   -1.1061E-01
  10.500   1.383797E+03   -1.470303E+01   -1.1156E-01
  11.000   1.376605E+03   -1.407353E+01   -1.1246E-01
  11.500   1.369715E+03   -1.349412E+01   -1.1330E-01
  12.000   1.363104E+03   -1.295603E+01   -1.1406E-01
  12.500   1.356753E+03   -1.245560E+01   -1.1476E-01
  13.000   1.350643E+03   -1.198733E+01   -1.1538E-01
  13.500   1.344761E+03   -1.154879E+01   -1.1594E-01
  14.000   1.339090E+03   -1.113636E+01   -1.1643E-01
  14.500   1.333620E+03   -1.074834E+01   -1.1686E-01
  15.000   1.328338E+03   -1.038215E+01   -1.1724E-01
  15.500   1.323234E+03   -1.003649E+01   -1.1756E-01
  16.000   1.318299E+03   -9.709436E+00   -1.1784E-01
  16.500   1.313522E+03   -9.399915E+00   -1.1808E-01
  17.000   1.308896E+03   -9.106441E+00   -1.1827E-01
  17.500   1.304413E+03   -8.828117E+00   -1.1844E-01
  18.000   1.300066E+03   -8.563724E+00   -1.1857E-01
  18.500   1.295847E+03   -8.312509E+00   -1.1867E-01
  19.000   1.291751E+03   -8.073473E+00   -1.1875E-01
  19.500   1.287772E+03   -7.845919E+00   -1.1881E-01
  20.000   1.283904E+03   -7.629036E+00   -1.1884E-01
  21.000   1.276480E+03   -7.224839E+00   -1.1886E-01
  22.000   1.269442E+03   -6.855938E+00   -1.1882E-01
  23.000   1.262757E+03   -6.518402E+00   -1.1873E-01
  24.000   1.256396E+03   -6.208189E+00   -1.1859E-01
  25.000   1.250333E+03   -5.922722E+00   -1.1842E-01
  26.000   1.244544E+03   -5.658949E+00   -1.1822E-01
  27.000   1.239008E+03   -5.414534E+00   -1.1799E-01
  28.000   1.233709E+03   -5.187684E+00   -1.1774E-01
  29.000   1.228628E+03   -4.976350E+00   -1.1746E-01
  30.000   1.223751E+03   -4.779169E+00   -1.1716E-01
  31.000   1.219065E+03   -4.594703E+00   -1.1684E-01
  32.000   1.214558E+03   -4.421772E+00   -1.1650E-01
  33.000   1.210218E+03   -4.259435E+00   -1.1615E-01
  34.000   1.206036E+03   -4.106678E+00   -1.1577E-01
  35.000   1.202002E+03   -3.962379E+00   -1.1538E-01
  36.000   1.198108E+03   -3.826389E+00   -1.1497E-01
  37.000   1.194347E+03   -3.697910E+00   -1.1456E-01
  38.000   1.190710E+03   -3.576045E+00   -1.1412E-01
  39.000   1.187192E+03   -3.460687E+00   -1.1369E-01
  40.000   1.183787E+03   -3.351179E+00   -1.1324E-01
