Temperature             Resistance
(Kelvin)                (Ohms)

1.60315000000000E-02   6.00800000000000E+03
1.87508000000000E-02   5.58080000000000E+03
2.03650000000000E-02   5.37850000000000E+03
2.20887000000000E-02   5.15606000000000E+03
2.39291000000000E-02   4.99381000000000E+03
2.60886000000000E-02   4.82046000000000E+03
2.80425000000000E-02   4.70796000000000E+03
3.00262000000000E-02   4.60091000000000E+03
3.30138000000000E-02   4.43921000000000E+03
3.61136000000000E-02   4.29368000000000E+03
3.90416000000000E-02   4.18187000000000E+03
4.32094750000000E-02   4.03769000000000E+03
4.76116140000000E-02   3.90143000000000E+03
5.18665010000000E-02   3.79297000000000E+03
5.67922270000000E-02   3.68229000000000E+03
6.44895000000000E-02   3.53513000000000E+03
7.49324300000000E-02   3.37303000000000E+03
8.45888550000000E-02   3.24790000000000E+03
9.67875240000000E-02   3.11339000000000E+03
1.12755527000000E-01   2.97177000000000E+03
1.28956984000000E-01   2.85760000000000E+03
1.45025503000000E-01   2.76391000000000E+03
1.63323319000000E-01   2.67491000000000E+03
1.83102187000000E-01   2.59292000000000E+03
2.04457309000000E-01   2.51862000000000E+03
2.29768953000000E-01   2.44375000000000E+03
2.59211173000000E-01   2.37189000000000E+03
2.88634642000000E-01   2.30969000000000E+03
3.07979774000000E-01   2.27380000000000E+03
3.27475171000000E-01   2.24085000000000E+03
3.65279167000000E-01   2.18493000000000E+03
4.15769312000000E-01   2.12262000000000E+03
4.74661312000000E-01   2.06312000000000E+03
5.35205873000000E-01   2.01250000000000E+03
6.10638024000000E-01   1.96011000000000E+03
6.86234478000000E-01   1.91655000000000E+03
7.66126880000000E-01   1.87746000000000E+03
8.55195954000000E-01   1.84103000000000E+03
9.49374031000000E-01   1.80803000000000E+03
1.04849614900000E+00   1.77817000000000E+03
1.14831164500000E+00   1.75188000000000E+03
1.19919138900000E+00   1.73980000000000E+03
1.30312115343540E+00   1.71661910777146E+03
1.40026689314249E+00   1.69787889898856E+03
1.60070020692461E+00   1.66526637808369E+03
1.80097943561096E+00   1.63830061571208E+03
2.00072643815853E+00   1.61533676148715E+03
2.20023672696060E+00   1.59556142993300E+03
2.39998667434905E+00   1.57814092391875E+03
2.60026647274747E+00   1.56265276038696E+03
2.79921136294899E+00   1.54885010465898E+03
2.99964370267779E+00   1.53634852912685E+03
3.19915052542602E+00   1.52498589312525E+03
3.39976865163090E+00   1.51446107511508E+03
3.59974349582646E+00   1.50482849354082E+03
3.80042857638560E+00   1.49589978956140E+03
3.99881910486709E+00   1.48759689882438E+03
4.19489157715694E+00   1.47993631888499E+03
4.62538496308671E+00   1.46446784024296E+03
5.02768033890216E+00   1.45172321473106E+03
5.53029918901834E+00   1.43736960084721E+03
6.23534291470192E+00   1.41975452472817E+03
7.05097906722842E+00   1.40193320612952E+03
8.06215276040777E+00   1.38252465652464E+03
9.07101713316153E+00   1.36563744937325E+03
1.00857034786439E+01   1.35034221092105E+03
1.11061891562385E+01   1.33611452339763E+03
1.21200330232086E+01   1.32332964449413E+03
1.31328449858909E+01   1.31159366330327E+03
1.41287099996551E+01   1.30086295208207E+03
1.51201436679731E+01   1.29088437485203E+03
1.61093925149550E+01   1.28163842499281E+03
1.70914105163015E+01   1.27302529438880E+03
1.80762162069885E+01   1.26492182263151E+03
1.90602211225585E+01   1.25728197439379E+03
2.00450268370983E+01   1.25009224523694E+03
2.11312710671737E+01   1.24251341924016E+03
2.27177950641543E+01   1.23229636304350E+03
2.43258537250992E+01   1.22275069769366E+03
2.59397319220462E+01   1.21389597160014E+03
2.75722360449102E+01   1.20554110566804E+03
2.91910885977842E+01   1.19781576001957E+03
3.10163880111941E+01   1.18975367639267E+03
3.31304180392057E+01   1.18113509183392E+03
3.61421184629563E+01   1.16985918591910E+03
3.91360906554098E+01   1.15976065661968E+03
4.21354703925841E+01   1.15059849001234E+03
4.51279238799804E+01   1.14223592707702E+03
