Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   0.020   5.406685E+03   -1.216310E+05   -4.4993E-01
   0.022   5.184747E+03   -1.010944E+05   -4.2897E-01
   0.024   4.999389E+03   -8.501926E+04   -4.0814E-01
   0.026   4.842071E+03   -7.283291E+04   -3.9108E-01
   0.028   4.706159E+03   -6.347453E+04   -3.7765E-01
   0.030   4.586810E+03   -5.616861E+04   -3.6737E-01
   0.032   4.480532E+03   -5.031283E+04   -3.5933E-01
   0.034   4.384802E+03   -4.557007E+04   -3.5335E-01
   0.036   4.297739E+03   -4.161355E+04   -3.4858E-01
   0.038   4.217929E+03   -3.828208E+04   -3.4489E-01
   0.040   4.144286E+03   -3.543023E+04   -3.4197E-01
   0.042   4.075971E+03   -3.294182E+04   -3.3944E-01
   0.044   4.012304E+03   -3.077275E+04   -3.3746E-01
   0.046   3.952725E+03   -2.884247E+04   -3.3566E-01
   0.048   3.896794E+03   -2.712201E+04   -3.3408E-01
   0.050   3.844122E+03   -2.557497E+04   -3.3265E-01
   0.055   3.724738E+03   -2.230581E+04   -3.2937E-01
   0.060   3.619977E+03   -1.968783E+04   -3.2632E-01
   0.065   3.527081E+03   -1.754304E+04   -3.2330E-01
   0.070   3.443961E+03   -1.575409E+04   -3.2021E-01
   0.075   3.369072E+03   -1.424593E+04   -3.1713E-01
   0.080   3.301132E+03   -1.296156E+04   -3.1411E-01
   0.085   3.239157E+03   -1.185687E+04   -3.1114E-01
   0.090   3.182326E+03   -1.089634E+04   -3.0816E-01
   0.095   3.129991E+03   -1.005706E+04   -3.0525E-01
   0.100   3.081575E+03   -9.324110E+03   -3.0258E-01
   0.110   2.994751E+03   -8.088967E+03   -2.9712E-01
   0.120   2.918928E+03   -7.109546E+03   -2.9228E-01
   0.130   2.851965E+03   -6.310982E+03   -2.8767E-01
   0.140   2.792250E+03   -5.651601E+03   -2.8336E-01
   0.150   2.738565E+03   -5.101304E+03   -2.7941E-01
   0.160   2.689954E+03   -4.633491E+03   -2.7560E-01
   0.170   2.645660E+03   -4.235037E+03   -2.7213E-01
   0.180   2.605079E+03   -3.889471E+03   -2.6875E-01
   0.190   2.567715E+03   -3.589907E+03   -2.6564E-01
   0.200   2.533163E+03   -3.326132E+03   -2.6261E-01
   0.210   2.501084E+03   -3.094355E+03   -2.5981E-01
   0.220   2.471194E+03   -2.887444E+03   -2.5706E-01
   0.230   2.443259E+03   -2.703350E+03   -2.5448E-01
   0.240   2.417064E+03   -2.538298E+03   -2.5204E-01
   0.250   2.392440E+03   -2.388965E+03   -2.4964E-01
   0.260   2.369235E+03   -2.254591E+03   -2.4742E-01
   0.270   2.347309E+03   -2.132315E+03   -2.4527E-01
   0.280   2.326554E+03   -2.020219E+03   -2.4313E-01
   0.290   2.306872E+03   -1.917885E+03   -2.4110E-01
   0.300   2.288166E+03   -1.824869E+03   -2.3926E-01
   0.320   2.253332E+03   -1.662573E+03   -2.3611E-01
   0.340   2.221537E+03   -1.520022E+03   -2.3264E-01
   0.360   2.192411E+03   -1.395443E+03   -2.2914E-01
   0.380   2.165611E+03   -1.286739E+03   -2.2578E-01
   0.400   2.140861E+03   -1.190262E+03   -2.2239E-01
   0.420   2.117925E+03   -1.105148E+03   -2.1916E-01
   0.440   2.096595E+03   -1.029250E+03   -2.1600E-01
   0.460   2.076701E+03   -9.614009E+02   -2.1296E-01
   0.480   2.058087E+03   -9.011620E+02   -2.1017E-01
   0.500   2.040616E+03   -8.468947E+02   -2.0751E-01
   0.550   2.001232E+03   -7.333374E+02   -2.0154E-01
   0.600   1.966900E+03   -6.433772E+02   -1.9626E-01
   0.650   1.936590E+03   -5.713557E+02   -1.9177E-01
   0.700   1.909552E+03   -5.121116E+02   -1.8773E-01
   0.750   1.885222E+03   -4.624852E+02   -1.8399E-01
   0.800   1.863172E+03   -4.206152E+02   -1.8060E-01
   0.850   1.843065E+03   -3.845825E+02   -1.7736E-01
   0.900   1.824631E+03   -3.534424E+02   -1.7434E-01
   0.950   1.807656E+03   -3.261906E+02   -1.7143E-01
   1.000   1.791958E+03   -3.022081E+02   -1.6865E-01
   1.050   1.777389E+03   -2.809617E+02   -1.6598E-01
   1.100   1.763823E+03   -2.620280E+02   -1.6341E-01
   1.150   1.751154E+03   -2.450683E+02   -1.6094E-01
   1.200   1.739287E+03   -2.298589E+02   -1.5859E-01
   1.300   1.717656E+03   -2.036207E+02   -1.5411E-01
   1.400   1.698408E+03   -1.820305E+02   -1.5005E-01
   1.500   1.681133E+03   -1.639410E+02   -1.4628E-01
   1.600   1.665525E+03   -1.486758E+02   -1.4283E-01
   1.700   1.651321E+03   -1.357171E+02   -1.3972E-01
   1.800   1.638322E+03   -1.245569E+02   -1.3685E-01
   1.900   1.626359E+03   -1.149031E+02   -1.3424E-01
   2.000   1.615300E+03   -1.064798E+02   -1.3184E-01
   2.100   1.605029E+03   -9.909490E+01   -1.2965E-01
   2.200   1.595453E+03   -9.256828E+01   -1.2764E-01
   2.300   1.586491E+03   -8.677536E+01   -1.2580E-01
   2.400   1.578077E+03   -8.160172E+01   -1.2410E-01
   2.500   1.570153E+03   -7.696326E+01   -1.2254E-01
   2.600   1.562669E+03   -7.278136E+01   -1.2110E-01
   2.700   1.555583E+03   -6.899920E+01   -1.1976E-01
   2.800   1.548858E+03   -6.556168E+01   -1.1852E-01
   2.900   1.542461E+03   -6.242875E+01   -1.1737E-01
   3.000   1.536363E+03   -5.956153E+01   -1.1630E-01
   3.100   1.530540E+03   -5.693059E+01   -1.1531E-01
   3.200   1.524970E+03   -5.450714E+01   -1.1438E-01
   3.300   1.519633E+03   -5.227119E+01   -1.1351E-01
   3.400   1.514510E+03   -5.020351E+01   -1.1270E-01
   3.500   1.509587E+03   -4.828209E+01   -1.1194E-01
   3.600   1.504850E+03   -4.648471E+01   -1.1120E-01
   3.700   1.500286E+03   -4.482184E+01   -1.1054E-01
   3.800   1.495881E+03   -4.330413E+01   -1.1001E-01
   3.900   1.491623E+03   -4.183586E+01   -1.0938E-01
   4.000   1.487515E+03   -4.032453E+01   -1.0843E-01
   4.200   1.479715E+03   -3.786882E+01   -1.0749E-01
   4.400   1.472333E+03   -3.594557E+01   -1.0742E-01
   4.600   1.465340E+03   -3.397318E+01   -1.0665E-01
   4.800   1.458740E+03   -3.206570E+01   -1.0551E-01
   5.000   1.452498E+03   -3.040413E+01   -1.0466E-01
   5.200   1.446565E+03   -2.894655E+01   -1.0405E-01
   5.400   1.440910E+03   -2.762604E+01   -1.0353E-01
   5.600   1.435506E+03   -2.643724E+01   -1.0313E-01
   5.800   1.430328E+03   -2.535526E+01   -1.0282E-01
   6.000   1.425357E+03   -2.437174E+01   -1.0259E-01
   6.500   1.413708E+03   -2.230088E+01   -1.0254E-01
   7.000   1.402995E+03   -2.061076E+01   -1.0283E-01
   7.500   1.393048E+03   -1.921071E+01   -1.0343E-01
   8.000   1.383750E+03   -1.801474E+01   -1.0415E-01
   8.500   1.375005E+03   -1.698818E+01   -1.0502E-01
   9.000   1.366742E+03   -1.608064E+01   -1.0589E-01
   9.500   1.358907E+03   -1.527527E+01   -1.0679E-01
  10.000   1.351454E+03   -1.454818E+01   -1.0765E-01
  10.500   1.344347E+03   -1.388969E+01   -1.0849E-01
  11.000   1.337555E+03   -1.328536E+01   -1.0926E-01
  11.500   1.331053E+03   -1.273009E+01   -1.0999E-01
  12.000   1.324819E+03   -1.221497E+01   -1.1064E-01
  12.500   1.318832E+03   -1.173678E+01   -1.1124E-01
  13.000   1.313077E+03   -1.128986E+01   -1.1177E-01
  13.500   1.307537E+03   -1.087205E+01   -1.1225E-01
  14.000   1.302200E+03   -1.047951E+01   -1.1267E-01
  14.500   1.297054E+03   -1.011065E+01   -1.1303E-01
  15.000   1.292086E+03   -9.762753E+00   -1.1334E-01
  15.500   1.287288E+03   -9.434623E+00   -1.1360E-01
  16.000   1.282649E+03   -9.124224E+00   -1.1382E-01
  16.500   1.278161E+03   -8.830589E+00   -1.1400E-01
  17.000   1.273816E+03   -8.552162E+00   -1.1413E-01
  17.500   1.269606E+03   -8.288129E+00   -1.1424E-01
  18.000   1.265525E+03   -8.037262E+00   -1.1432E-01
  18.500   1.261567E+03   -7.798865E+00   -1.1436E-01
  19.000   1.257724E+03   -7.571950E+00   -1.1439E-01
  19.500   1.253993E+03   -7.355907E+00   -1.1439E-01
  20.000   1.250367E+03   -7.149928E+00   -1.1437E-01
  21.000   1.243412E+03   -6.765913E+00   -1.1427E-01
  22.000   1.236824E+03   -6.415332E+00   -1.1411E-01
  23.000   1.230571E+03   -6.094500E+00   -1.1391E-01
  24.000   1.224626E+03   -5.799725E+00   -1.1366E-01
  25.000   1.218964E+03   -5.528589E+00   -1.1339E-01
  26.000   1.213562E+03   -5.278253E+00   -1.1308E-01
  27.000   1.208401E+03   -5.046611E+00   -1.1276E-01
  28.000   1.203463E+03   -4.831915E+00   -1.1242E-01
  29.000   1.198732E+03   -4.632251E+00   -1.1206E-01
  30.000   1.194194E+03   -4.446387E+00   -1.1170E-01
  31.000   1.189836E+03   -4.272855E+00   -1.1133E-01
  32.000   1.185645E+03   -4.110634E+00   -1.1094E-01
  33.000   1.181611E+03   -3.958706E+00   -1.1056E-01
  34.000   1.177724E+03   -3.816213E+00   -1.1017E-01
  35.000   1.173976E+03   -3.681935E+00   -1.0977E-01
  36.000   1.170358E+03   -3.555726E+00   -1.0937E-01
  37.000   1.166862E+03   -3.436924E+00   -1.0898E-01
  38.000   1.163482E+03   -3.324521E+00   -1.0858E-01
  39.000   1.160211E+03   -3.218408E+00   -1.0819E-01
  40.000   1.157043E+03   -3.118031E+00   -1.0779E-01
