Temperature             Resistance
(Kelvin)                (Ohms)

4.81699430000000E-02   6.56580000000000E+04
4.90761830000000E-02   6.37130000000000E+04
5.40023140000000E-02   5.44608000000000E+04
5.70864350000000E-02   5.03691000000000E+04
6.99324600000000E-02   3.74539000000000E+04
7.57974730000000E-02   3.28443000000000E+04
8.40010890000000E-02   2.83398000000000E+04
9.65980680000000E-02   2.35681000000000E+04
1.13517881000000E-01   1.96378000000000E+04
1.29233531000000E-01   1.70585000000000E+04
1.47489131000000E-01   1.48085000000000E+04
1.63480214000000E-01   1.34424000000000E+04
1.83941112000000E-01   1.20207000000000E+04
2.05169604000000E-01   1.08998000000000E+04
2.30030468000000E-01   9.90870000000000E+03
2.59416483000000E-01   9.01290000000000E+03
2.89529808000000E-01   8.30540000000000E+03
3.08421183000000E-01   7.94120000000000E+03
3.28723083000000E-01   7.59940000000000E+03
3.67098646000000E-01   7.06280000000000E+03
4.17404521000000E-01   6.51580000000000E+03
4.75084310000000E-01   6.03740000000000E+03
5.34600444000000E-01   5.65640000000000E+03
6.11421488000000E-01   5.27860000000000E+03
6.86454743000000E-01   4.99157000000000E+03
7.65260629000000E-01   4.75077000000000E+03
8.55314438000000E-01   4.52869000000000E+03
9.49524323000000E-01   4.34053000000000E+03
1.04891074950100E+00   4.17634000000000E+03
1.14745703632843E+00   4.03965000000000E+03
1.20116132960831E+00   3.97298204928474E+03
1.30236013042887E+00   3.86609288956774E+03
1.40177706389140E+00   3.77422976351294E+03
1.59883465334887E+00   3.62328515437357E+03
1.80008806475052E+00   3.50160611225278E+03
2.00023167486834E+00   3.40328918615023E+03
2.19919605262864E+00   3.32204814186049E+03
2.40039236074690E+00   3.25194077025374E+03
2.60019785238737E+00   3.19195003839703E+03
2.79923278005544E+00   3.13975791869002E+03
3.00183189698375E+00   3.09308917081603E+03
3.19912465118922E+00   3.05264496762927E+03
3.40107028281609E+00   3.01574505653361E+03
3.60073534194807E+00   2.98257687860066E+03
3.80193686690756E+00   2.95234828389499E+03
3.99974468608804E+00   2.92539114339712E+03
4.20266704476945E+00   2.89983392698586E+03
4.59856056274092E+00   2.85496153754392E+03
5.00270626584121E+00   2.81567781382072E+03
5.50467327883893E+00   2.77358920137697E+03
6.20804682471553E+00   2.72480615112741E+03
7.02143317084645E+00   2.67830323523557E+03
8.08093426242920E+00   2.62864737196389E+03
9.08909845218869E+00   2.58982009777117E+03
1.01060637790599E+01   2.55672442257086E+03
1.11260223647860E+01   2.52793653130988E+03
1.21396584400534E+01   2.50266572166295E+03
1.31475325996609E+01   2.48042720606067E+03
1.41483395879524E+01   2.46062319247403E+03
1.51379809760704E+01   2.44284195179897E+03
1.61251860603227E+01   2.42670993279136E+03
1.71076575034998E+01   2.41185589772108E+03
1.80865427040420E+01   2.39829039179847E+03
1.90657709686400E+01   2.38575178025794E+03
2.00476517463384E+01   2.37404955100564E+03
2.11343852233945E+01   2.36196719349819E+03
2.27177730463052E+01   2.34598080560360E+03
2.43176276270766E+01   2.33096986807814E+03
2.59230735353387E+01   2.31766499092668E+03
2.75366127715585E+01   2.30545164657165E+03
2.91604891853113E+01   2.29388808924954E+03
3.09845849268105E+01   2.28206889781601E+03
3.30985532125091E+01   2.26934959331652E+03
3.61015252944567E+01   2.25325567303942E+03
3.91033805003463E+01   2.23905778818048E+03
4.20947093462718E+01   2.22640688015032E+03
4.50856310197834E+01   2.21475617035781E+03
