Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   0.050   6.154862E+04   -2.093232E+06   -1.7005E+00
   0.055   5.309730E+04   -1.384427E+06   -1.4340E+00
   0.060   4.691202E+04   -1.125285E+06   -1.4392E+00
   0.065   4.173094E+04   -9.548893E+05   -1.4873E+00
   0.070   3.729603E+04   -8.248269E+05   -1.5481E+00
   0.075   3.348844E+04   -6.936381E+05   -1.5535E+00
   0.080   3.037047E+04   -5.584577E+05   -1.4711E+00
   0.085   2.785384E+04   -4.526378E+05   -1.3813E+00
   0.090   2.580090E+04   -3.724687E+05   -1.2993E+00
   0.095   2.409455E+04   -3.131180E+05   -1.2346E+00
   0.100   2.264372E+04   -2.690679E+05   -1.1883E+00
   0.110   2.029067E+04   -2.063546E+05   -1.1187E+00
   0.120   1.844020E+04   -1.661619E+05   -1.0813E+00
   0.130   1.693152E+04   -1.370949E+05   -1.0526E+00
   0.140   1.567538E+04   -1.150243E+05   -1.0273E+00
   0.150   1.461521E+04   -9.770217E+04   -1.0027E+00
   0.160   1.371022E+04   -8.377037E+04   -9.7761E-01
   0.170   1.293132E+04   -7.238098E+04   -9.5155E-01
   0.180   1.225592E+04   -6.300172E+04   -9.2529E-01
   0.190   1.166580E+04   -5.525989E+04   -9.0001E-01
   0.200   1.114648E+04   -4.879911E+04   -8.7560E-01
   0.210   1.068625E+04   -4.340339E+04   -8.5294E-01
   0.220   1.027568E+04   -3.883697E+04   -8.3149E-01
   0.230   9.907170E+03   -3.497393E+04   -8.1194E-01
   0.240   9.574331E+03   -3.167291E+04   -7.9395E-01
   0.250   9.272227E+03   -2.881761E+04   -7.7699E-01
   0.260   8.996662E+03   -2.635730E+04   -7.6172E-01
   0.270   8.744043E+03   -2.421091E+04   -7.4759E-01
   0.280   8.511603E+03   -2.231707E+04   -7.3415E-01
   0.290   8.296942E+03   -2.065115E+04   -7.2181E-01
   0.300   8.097955E+03   -1.917366E+04   -7.1031E-01
   0.320   7.740453E+03   -1.666722E+04   -6.8904E-01
   0.340   7.428080E+03   -1.463700E+04   -6.6997E-01
   0.360   7.152665E+03   -1.295748E+04   -6.5216E-01
   0.380   6.907859E+03   -1.156230E+04   -6.3604E-01
   0.400   6.688803E+03   -1.037518E+04   -6.2045E-01
   0.420   6.491655E+03   -9.367508E+03   -6.0606E-01
   0.440   6.313188E+03   -8.498906E+03   -5.9233E-01
   0.460   6.150952E+03   -7.742487E+03   -5.7902E-01
   0.480   6.002818E+03   -7.086425E+03   -5.6665E-01
   0.500   5.866977E+03   -6.509383E+03   -5.5475E-01
   0.550   5.572129E+03   -5.344228E+03   -5.2750E-01
   0.600   5.327901E+03   -4.465008E+03   -5.0283E-01
   0.650   5.122112E+03   -3.794845E+03   -4.8157E-01
   0.700   4.945890E+03   -3.275589E+03   -4.6360E-01
   0.750   4.793154E+03   -2.844988E+03   -4.4516E-01
   0.800   4.660214E+03   -2.488634E+03   -4.2721E-01
   0.850   4.542613E+03   -2.231419E+03   -4.1754E-01
   0.900   4.436035E+03   -2.032593E+03   -4.1238E-01
   0.950   4.339328E+03   -1.835888E+03   -4.0193E-01
   1.000   4.252179E+03   -1.654926E+03   -3.8919E-01
   1.050   4.173372E+03   -1.501789E+03   -3.7784E-01
   1.100   4.101637E+03   -1.370604E+03   -3.6758E-01
   1.150   4.036024E+03   -1.256669E+03   -3.5807E-01
   1.200   3.975718E+03   -1.157894E+03   -3.4949E-01
   1.300   3.868416E+03   -9.948331E+02   -3.3432E-01
   1.400   3.775606E+03   -8.661258E+02   -3.2116E-01
   1.500   3.694391E+03   -7.613937E+02   -3.0914E-01
   1.600   3.622715E+03   -6.750492E+02   -2.9814E-01
   1.700   3.558900E+03   -6.031905E+02   -2.8813E-01
   1.800   3.501705E+03   -5.424949E+02   -2.7886E-01
   1.900   3.450096E+03   -4.909628E+02   -2.7038E-01
   2.000   3.403266E+03   -4.468119E+02   -2.6258E-01
   2.100   3.360530E+03   -4.087750E+02   -2.5544E-01
   2.200   3.321346E+03   -3.757079E+02   -2.4886E-01
   2.300   3.285250E+03   -3.467993E+02   -2.4279E-01
   2.400   3.251871E+03   -3.213430E+02   -2.3716E-01
   2.500   3.220884E+03   -2.988193E+02   -2.3194E-01
   2.600   3.192025E+03   -2.787495E+02   -2.2705E-01
   2.700   3.165063E+03   -2.607969E+02   -2.2248E-01
   2.800   3.139806E+03   -2.446445E+02   -2.1817E-01
   2.900   3.116082E+03   -2.300612E+02   -2.1411E-01
   3.000   3.093749E+03   -2.168286E+02   -2.1026E-01
   3.100   3.072676E+03   -2.047929E+02   -2.0661E-01
   3.200   3.052755E+03   -1.937955E+02   -2.0314E-01
   3.300   3.033886E+03   -1.837235E+02   -1.9984E-01
   3.400   3.015983E+03   -1.744675E+02   -1.9668E-01
   3.500   2.998968E+03   -1.659445E+02   -1.9367E-01
   3.600   2.982773E+03   -1.580718E+02   -1.9078E-01
   3.700   2.967334E+03   -1.507878E+02   -1.8802E-01
   3.800   2.952598E+03   -1.440311E+02   -1.8537E-01
   3.900   2.938512E+03   -1.377531E+02   -1.8283E-01
   4.000   2.925033E+03   -1.319047E+02   -1.8038E-01
   4.200   2.899730E+03   -1.213713E+02   -1.7580E-01
   4.400   2.876398E+03   -1.121320E+02   -1.7153E-01
   4.600   2.854804E+03   -1.039895E+02   -1.6756E-01
   4.800   2.834739E+03   -9.680193E+01   -1.6391E-01
   5.000   2.816028E+03   -9.043926E+01   -1.6058E-01
   5.200   2.798519E+03   -8.472913E+01   -1.5744E-01
   5.400   2.782105E+03   -7.949533E+01   -1.5430E-01
   5.600   2.766690E+03   -7.472834E+01   -1.5126E-01
   5.800   2.752180E+03   -7.045332E+01   -1.4847E-01
   6.000   2.738477E+03   -6.666502E+01   -1.4606E-01
   6.500   2.707146E+03   -5.896089E+01   -1.4157E-01
   7.000   2.679318E+03   -5.253083E+01   -1.3724E-01
   7.500   2.654445E+03   -4.711859E+01   -1.3313E-01
   8.000   2.632046E+03   -4.262962E+01   -1.2957E-01
   8.500   2.611684E+03   -3.891452E+01   -1.2665E-01
   9.000   2.593041E+03   -3.574648E+01   -1.2407E-01
   9.500   2.575858E+03   -3.304725E+01   -1.2188E-01
  10.000   2.559936E+03   -3.069625E+01   -1.1991E-01
  10.500   2.545110E+03   -2.864812E+01   -1.1819E-01
  11.000   2.531250E+03   -2.682632E+01   -1.1658E-01
  11.500   2.518249E+03   -2.520651E+01   -1.1511E-01
  12.000   2.506018E+03   -2.374518E+01   -1.1370E-01
  12.500   2.494480E+03   -2.242787E+01   -1.1239E-01
  13.000   2.483571E+03   -2.122722E+01   -1.1111E-01
  13.500   2.473234E+03   -2.013383E+01   -1.0990E-01
  14.000   2.463422E+03   -1.912999E+01   -1.0872E-01
  14.500   2.454090E+03   -1.820913E+01   -1.0759E-01
  15.000   2.445201E+03   -1.735895E+01   -1.0649E-01
  15.500   2.436720E+03   -1.657455E+01   -1.0543E-01
  16.000   2.428617E+03   -1.584707E+01   -1.0440E-01
  16.500   2.420864E+03   -1.517268E+01   -1.0341E-01
  17.000   2.413437E+03   -1.454476E+01   -1.0245E-01
  17.500   2.406312E+03   -1.396028E+01   -1.0153E-01
  18.000   2.399470E+03   -1.341416E+01   -1.0063E-01
  18.500   2.392892E+03   -1.290390E+01   -9.9763E-02
  19.000   2.386561E+03   -1.242562E+01   -9.8923E-02
  19.500   2.380461E+03   -1.197719E+01   -9.8113E-02
  20.000   2.374579E+03   -1.155560E+01   -9.7328E-02
  21.000   2.363416E+03   -1.078531E+01   -9.5832E-02
  22.000   2.352980E+03   -1.009925E+01   -9.4426E-02
  23.000   2.343194E+03   -9.485570E+00   -9.3107E-02
  24.000   2.333989E+03   -8.932762E+00   -9.1854E-02
  25.000   2.325310E+03   -8.433964E+00   -9.0676E-02
  26.000   2.317106E+03   -7.980967E+00   -8.9554E-02
  27.000   2.309335E+03   -7.568175E+00   -8.8485E-02
  28.000   2.301958E+03   -7.191038E+00   -8.7469E-02
  29.000   2.294942E+03   -6.844686E+00   -8.6493E-02
  30.000   2.288259E+03   -6.526159E+00   -8.5561E-02
  31.000   2.281882E+03   -6.232039E+00   -8.4664E-02
  32.000   2.275788E+03   -5.959823E+00   -8.3801E-02
  33.000   2.269956E+03   -5.707352E+00   -8.2972E-02
  34.000   2.264367E+03   -5.472722E+00   -8.2174E-02
  35.000   2.259005E+03   -5.253262E+00   -8.1392E-02
  36.000   2.253855E+03   -5.048757E+00   -8.0642E-02
  37.000   2.248903E+03   -4.857785E+00   -7.9923E-02
  38.000   2.244136E+03   -4.678258E+00   -7.9217E-02
  39.000   2.239543E+03   -4.510023E+00   -7.8539E-02
  40.000   2.235113E+03   -4.351915E+00   -7.7883E-02
